;REPORTE SEMANAL COMIDA RAPIDA,,,,,,,
;Filtro:(Fecha Venta  Between  9/11/2020 AND 15/11/2020)  AND (Departamento  = COMIDA RAPIDA) ,,,,,,,
Article Description,Category,Departament,Date of Sale,Sold Quantity,Total Sales,Total (Without Tax),Sale hour
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,15/11/2020 18:32:42,1,85,73.9131,18:32:42.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,15/11/2020 21:11:01,1,85,73.9131,21:11:01.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,15/11/2020 20:46:02,1,85,73.9131,20:46:02.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 09:08:35,2,170,147.8261,09:08:35.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 11:49:27,1,85,73.9131,11:49:27.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 11:56:38,1,85,73.9131,11:56:38.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 10:39:50,2,136,118.2609,10:39:50.0000000
 CB 1PIERNA+REF16,,,,29.00,"L2,243.60","L1,950.96",
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 12:17:57,1,79,68.6956,12:17:57.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 18:57:01,1,79,68.6956,18:57:01.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,9/11/2020 10:49:57,1,79,68.6956,10:49:57.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,9/11/2020 12:22:49,1,79,68.6956,12:22:49.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,9/11/2020 13:58:55,1,79,68.6956,13:58:55.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 18:21:52,1,79,68.6956,18:21:52.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,14/11/2020 07:39:48,3,237,206.087,07:39:48.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,10/11/2020 11:14:02,1,79,68.6956,11:14:02.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,10/11/2020 11:58:46,1,79,68.6956,11:58:46.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,10/11/2020 13:58:00,2,158,137.3913,13:58:00.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,10/11/2020 14:13:38,1,79,68.6956,14:13:38.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,10/11/2020 19:34:18,1,79,68.6956,19:34:18.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,11/11/2020 08:35:23,2,158,137.3913,08:35:23.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,11/11/2020 12:17:41,1,79,68.6956,12:17:41.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,11/11/2020 12:27:26,1,79,68.6956,12:27:26.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,11/11/2020 12:20:35,1,79,68.6956,12:20:35.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,11/11/2020 13:20:55,1,79,68.6956,13:20:55.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,11/11/2020 15:41:11,1,63.2,54.9565,15:41:11.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,12/11/2020 14:26:27,1,79,68.6956,14:26:27.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,15/11/2020 12:14:24,1,79,68.6956,12:14:24.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 11:56:38,1,79,68.6956,11:56:38.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,12/11/2020 21:52:31,1,79,68.6956,21:52:31.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,12/11/2020 21:54:00,1,79,68.6956,21:54:00.0000000
CB 1PIERNA+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 10:39:50,2,126.4,109.9131,10:39:50.0000000
 CB 1SLICE PIZZA-REF16OZ,,,,7.00,L378.00,L328.70,
CB 1SLICE PIZZA-REF16OZ,CB/PIZZA,COMIDA RAPIDA,13/11/2020 13:37:43,1,54,46.9565,13:37:43.0000000
CB 1SLICE PIZZA-REF16OZ,CB/PIZZA,COMIDA RAPIDA,13/11/2020 17:40:03,1,54,46.9565,17:40:03.0000000
CB 1SLICE PIZZA-REF16OZ,CB/PIZZA,COMIDA RAPIDA,9/11/2020 13:25:34,1,54,46.9565,13:25:34.0000000
CB 1SLICE PIZZA-REF16OZ,CB/PIZZA,COMIDA RAPIDA,10/11/2020 19:34:18,1,54,46.9565,19:34:18.0000000
CB 1SLICE PIZZA-REF16OZ,CB/PIZZA,COMIDA RAPIDA,11/11/2020 12:18:03,1,54,46.9565,12:18:03.0000000
CB 1SLICE PIZZA-REF16OZ,CB/PIZZA,COMIDA RAPIDA,15/11/2020 12:07:26,1,54,46.9565,12:07:26.0000000
CB 1SLICE PIZZA-REF16OZ,CB/PIZZA,COMIDA RAPIDA,12/11/2020 15:26:53,1,54,46.9565,15:26:53.0000000
 CB 2 SLICE PIZZA+21OZ,,,,28.00,"L2,744.00","L2,386.09",
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,13/11/2020 13:37:43,1,98,85.2174,13:37:43.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,13/11/2020 15:31:22,1,98,85.2174,15:31:22.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,13/11/2020 16:40:59,1,98,85.2174,16:40:59.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,13/11/2020 16:53:36,1,98,85.2174,16:53:36.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,13/11/2020 17:21:12,1,98,85.2174,17:21:12.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,14/11/2020 14:10:07,1,98,85.2174,14:10:07.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,9/11/2020 17:29:47,1,98,85.2174,17:29:47.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,9/11/2020 17:29:57,1,98,85.2174,17:29:57.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,14/11/2020 12:36:36,1,98,85.2174,12:36:36.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,14/11/2020 14:48:08,1,98,85.2174,14:48:08.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,14/11/2020 15:25:34,1,98,85.2174,15:25:34.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,14/11/2020 16:13:51,1,98,85.2174,16:13:51.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,14/11/2020 16:06:08,1,98,85.2174,16:06:08.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,14/11/2020 19:05:09,1,98,85.2174,19:05:09.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,10/11/2020 13:46:01,1,98,85.2174,13:46:01.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,11/11/2020 15:26:31,2,196,170.4348,15:26:31.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,11/11/2020 15:57:35,1,98,85.2174,15:57:35.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,11/11/2020 18:52:41,2,196,170.4348,18:52:41.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,12/11/2020 13:11:27,1,98,85.2174,13:11:27.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,12/11/2020 13:12:22,1,98,85.2174,13:12:22.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,15/11/2020 11:07:15,1,98,85.2174,11:07:15.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,15/11/2020 14:31:19,1,98,85.2174,14:31:19.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,15/11/2020 15:46:21,1,98,85.2174,15:46:21.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,15/11/2020 15:51:33,1,98,85.2174,15:51:33.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,15/11/2020 18:04:39,1,98,85.2174,18:04:39.0000000
CB 2 SLICE PIZZA+21OZ,CB/PIZZA,COMIDA RAPIDA,12/11/2020 21:07:07,1,98,85.2174,21:07:07.0000000
 CB 3 PIEZAS POLLO ,,,,151.00,"L21,093.60","L18,342.26",
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 07:46:03,1,141,122.6087,07:46:03.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 13:10:07,1,141,122.6087,13:10:07.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 12:17:57,1,141,122.6087,12:17:57.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 12:17:57,1,141,122.6087,12:17:57.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 12:19:59,1,141,122.6087,12:19:59.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 12:34:19,1,141,122.6087,12:34:19.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 12:27:02,1,141,122.6087,12:27:02.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 14:02:08,1,141,122.6087,14:02:08.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 14:03:14,1,141,122.6087,14:03:14.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 14:06:04,1,141,122.6087,14:06:04.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 14:36:22,1,141,122.6087,14:36:22.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 14:46:18,1,141,122.6087,14:46:18.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 15:20:27,1,141,122.6087,15:20:27.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 16:53:36,1,141,122.6087,16:53:36.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 17:54:49,1,141,122.6087,17:54:49.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 17:57:14,2,225.6,196.1739,17:57:14.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 21:29:03,1,141,122.6087,21:29:03.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,9/11/2020 10:14:57,1,141,122.6087,10:14:57.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,9/11/2020 11:46:45,1,141,122.6087,11:46:45.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,9/11/2020 12:16:47,1,141,122.6087,12:16:47.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,9/11/2020 12:36:33,1,141,122.6087,12:36:33.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,9/11/2020 13:19:44,3,423,367.8261,13:19:44.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,9/11/2020 13:46:23,2,282,245.2174,13:46:23.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,9/11/2020 14:09:35,1,141,122.6087,14:09:35.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 17:45:26,1,141,122.6087,17:45:26.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 18:23:28,2,282,245.2174,18:23:28.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,13/11/2020 20:04:51,1,141,122.6087,20:04:51.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 12:18:31,1,141,122.6087,12:18:31.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 13:07:20,1,141,122.6087,13:07:20.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 13:29:58,1,141,122.6087,13:29:58.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 13:37:14,1,141,122.6087,13:37:14.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 13:56:29,1,141,122.6087,13:56:29.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 14:04:28,1,141,122.6087,14:04:28.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 11:25:01,1,141,122.6087,11:25:01.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,9/11/2020 17:38:17,1,141,122.6087,17:38:17.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,9/11/2020 17:52:06,1,141,122.6087,17:52:06.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,9/11/2020 17:54:42,1,141,122.6087,17:54:42.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,9/11/2020 17:26:42,1,141,122.6087,17:26:42.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,9/11/2020 18:45:59,1,141,122.6087,18:45:59.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,9/11/2020 19:51:34,2,282,245.2174,19:51:34.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,9/11/2020 20:09:38,1,141,122.6087,20:09:38.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,9/11/2020 19:59:02,1,141,122.6087,19:59:02.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,10/11/2020 07:44:28,1,141,122.6087,07:44:28.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 11:00:47,1,141,122.6087,11:00:47.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 12:15:29,1,141,122.6087,12:15:29.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 12:51:27,1,141,122.6087,12:51:27.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 13:04:29,1,141,122.6087,13:04:29.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 13:38:26,2,282,245.2174,13:38:26.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 13:51:24,1,141,122.6087,13:51:24.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 15:08:17,1,141,122.6087,15:08:17.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 14:30:34,1,141,122.6087,14:30:34.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 16:25:43,2,282,245.2174,16:25:43.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 18:45:00,1,141,122.6087,18:45:00.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 19:27:41,1,141,122.6087,19:27:41.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 19:47:39,1,141,122.6087,19:47:39.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 21:02:15,1,141,122.6087,21:02:15.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 21:29:27,1,141,122.6087,21:29:27.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 21:33:52,1,141,122.6087,21:33:52.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,14/11/2020 21:42:48,1,141,122.6087,21:42:48.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,10/11/2020 11:40:16,1,141,122.6087,11:40:16.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,10/11/2020 12:16:02,1,141,122.6087,12:16:02.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,10/11/2020 12:52:30,1,141,122.6087,12:52:30.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,10/11/2020 12:56:07,2,225.6,196.1739,12:56:07.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,10/11/2020 13:48:02,1,141,122.6087,13:48:02.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,10/11/2020 17:47:40,1,141,122.6087,17:47:40.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,10/11/2020 17:54:29,1,141,122.6087,17:54:29.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,10/11/2020 19:16:47,1,141,122.6087,19:16:47.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,10/11/2020 19:17:50,1,141,122.6087,19:17:50.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,10/11/2020 21:35:48,1,112.8,98.087,21:35:48.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,10/11/2020 20:39:37,1,141,122.6087,20:39:37.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,10/11/2020 20:08:23,1,141,122.6087,20:08:23.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,11/11/2020 10:07:06,1,141,122.6087,10:07:06.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,11/11/2020 11:01:01,3,423,367.8261,11:01:01.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,11/11/2020 11:03:10,1,112.8,98.087,11:03:10.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,11/11/2020 11:03:37,1,141,122.6087,11:03:37.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,11/11/2020 11:55:47,1,141,122.6087,11:55:47.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,11/11/2020 12:16:37,2,282,245.2174,12:16:37.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,11/11/2020 13:03:00,3,423,367.8261,13:03:00.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,11/11/2020 13:30:21,1,141,122.6087,13:30:21.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,11/11/2020 16:37:35,1,141,122.6087,16:37:35.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,11/11/2020 16:09:03,1,141,122.6087,16:09:03.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,11/11/2020 18:56:55,1,141,122.6087,18:56:55.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,11/11/2020 17:41:36,1,141,122.6087,17:41:36.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,11/11/2020 19:39:49,1,141,122.6087,19:39:49.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,11/11/2020 20:28:41,1,141,122.6087,20:28:41.0000000
CB 3 PIEZAS POLLO ,CB/POLLO,COMIDA RAPIDA,11/11/2020 21:11:20,1,141,122.6087,21:11:20.0000000
